Iteration,CountS,CountE,CountI,CountR
494,3850,331,710,15109
495,3858,326,701,15115
496,3859,326,692,15123
497,3852,323,704,15121
498,3842,322,717,15119
499,3826,319,729,15126
500,3800,335,731,15134
501,3794,341,727,15138
502,3788,345,717,15150
503,3767,345,715,15173
504,3758,349,723,15170
505,3752,356,733,15159
506,3758,339,763,15140
507,3763,360,731,15146
508,3744,357,723,15176
509,3757,334,732,15177
510,3747,334,730,15189
511,3719,337,734,15210
512,3713,325,705,15257
513,3708,335,677,15280
514,3712,316,666,15306
515,3711,314,652,15323
516,3714,308,637,15341
517,3703,338,642,15317
518,3726,316,680,15278
519,3734,318,667,15281
520,3715,331,671,15283
521,3708,322,676,15294
522,3728,319,654,15299
523,3745,297,678,15280
524,3758,291,663,15288
525,3768,293,670,15269
526,3789,271,663,15277
527,3802,276,647,15275
528,3818,256,636,15290
529,3838,273,629,15260
530,3836,294,620,15250
531,3844,288,629,15239
532,3838,290,636,15236
533,3835,307,629,15229
534,3864,293,639,15204
535,3862,306,638,15194
536,3859,298,641,15202
537,3865,307,629,15199
538,3877,309,634,15180
539,3866,315,656,15163
540,3875,314,643,15168
541,3868,321,632,15179
542,3874,317,613,15196
543,3856,342,596,15206
544,3855,349,593,15203
545,3875,326,611,15188
546,3894,309,612,15185
547,3894,296,589,15221
548,3918,268,606,15208
549,3947,277,599,15177
550,3954,293,589,15164
551,3982,291,581,15146
552,3998,277,597,15128
553,4007,273,602,15118
554,4002,287,602,15109
555,4018,274,599,15109
556,4041,265,587,15107
557,4030,281,582,15107
558,4053,272,578,15097
559,4052,267,577,15104
560,4062,264,570,15104
561,4080,264,581,15075
562,4065,285,579,15071
563,4069,308,567,15056
564,4089,298,571,15042
565,4120,272,600,15008
566,4119,305,591,14985
567,4119,313,613,14955
568,4102,326,608,14964
569,4103,314,629,14954
570,4116,303,637,14944
571,4123,294,647,14936
572,4124,308,625,14943
573,4147,296,631,14926
574,4126,316,609,14949
575,4118,306,646,14930
576,4114,297,653,14936
577,4103,304,671,14922
578,4074,314,685,14927
579,4066,312,699,14923
580,4060,327,676,14937
581,4052,330,674,14944
582,4052,320,704,14924
583,4043,351,685,14921
584,4044,349,677,14930
585,4025,330,699,14946
586,4010,340,678,14972
587,4012,333,666,14989
588,4003,323,680,14994
589,4009,310,676,15005
590,4012,331,653,15004
591,4027,321,664,14988
592,4024,313,657,15006
593,4040,302,659,14999
594,4043,310,633,15014
595,4034,309,636,15021
596,4050,293,643,15014
597,4054,296,642,15008
598,4064,297,646,14993
599,4068,304,638,14990
600,4054,323,632,14991
601,4042,327,633,14998
602,4045,314,640,15001
603,4064,298,649,14989
604,4057,307,656,14980
605,4054,320,665,14961
606,4024,352,658,14966
607,4024,343,685,14948
608,4025,362,674,14939
609,4025,340,700,14935
610,4028,332,724,14916
611,4008,351,719,14922
612,4018,352,709,14921
613,4001,367,709,14923
614,3975,352,696,14977
615,3997,330,708,14965
616,4004,317,704,14975
617,4004,325,702,14969
618,3986,352,679,14983
619,3992,330,684,14994
620,3989,313,717,14981
621,4004,307,714,14975
622,4004,308,717,14971
623,4008,320,709,14963
624,4010,333,698,14959
625,4003,334,677,14986
626,3987,342,687,14984
627,3985,328,695,14992
628,3995,315,708,14982
629,4016,333,677,14974
630,4038,305,694,14963
631,4046,316,679,14959
632,4042,330,679,14949
633,4053,324,700,14923
634,4066,315,688,14931
635,4070,305,689,14936
636,4074,309,687,14930
637,4067,324,697,14912
638,4044,340,698,14918
639,4052,315,707,14926
640,4042,335,677,14946
641,4021,352,664,14963
642,4043,330,684,14943
643,4040,331,689,14940
644,4035,340,672,14953
645,4036,343,674,14947
646,4028,324,708,14940
647,4025,330,682,14963
648,4015,331,674,14980
649,4008,345,661,14986
650,4020,344,667,14969
651,4007,346,654,14993
652,4032,326,660,14982
653,4037,324,670,14969
654,4040,323,662,14975
655,4047,318,655,14980
656,4052,323,664,14961
657,4057,331,663,14949
658,4066,335,658,14941
659,4077,327,663,14933
660,4079,349,659,14913
661,4071,343,678,14908
662,4098,328,682,14892
663,4091,335,679,14895
664,4087,348,689,14876
665,4103,337,677,14883
666,4106,321,671,14902
667,4110,319,671,14900
668,4100,316,677,14907
669,4133,305,670,14892
670,4152,291,694,14863
671,4165,296,680,14859
672,4166,328,638,14868
673,4182,329,643,14846
674,4180,339,633,14848
675,4207,313,644,14836
676,4203,323,645,14829
677,4210,321,647,14822
678,4212,324,639,14825
679,4217,334,644,14805
680,4233,326,656,14785
681,4229,330,657,14784
682,4198,345,660,14797
683,4228,318,696,14758
684,4203,346,705,14746
685,4169,373,694,14764
686,4188,343,711,14758
687,4188,333,734,14745
688,4188,320,727,14765
689,4186,324,728,14762
690,4180,340,725,14755
691,4167,345,723,14765
692,4167,337,734,14762
693,4156,356,700,14788
694,4156,365,707,14772
695,4144,361,718,14777
696,4118,383,708,14791
697,4115,386,714,14785
698,4085,403,732,14780
699,4091,400,744,14765
700,4060,413,770,14757
701,4034,416,788,14762
702,4007,426,790,14777
703,4020,405,810,14765
704,4011,387,809,14793
705,3988,410,795,14807
706,3979,409,784,14828
707,3960,407,790,14843
708,3934,400,795,14871
709,3934,373,807,14886
710,3929,373,793,14905
711,3912,395,803,14890
712,3885,423,778,14914
713,3870,415,778,14937
714,3850,395,801,14954
715,3860,394,772,14974
716,3871,365,780,14984
717,3857,367,748,15028
718,3851,357,761,15031
719,3844,366,759,15031
720,3860,335,775,15030
721,3858,337,756,15049
722,3845,357,729,15069
723,3837,368,738,15057
724,3848,335,765,15052
725,3833,348,768,15051
726,3831,349,744,15076
727,3809,358,747,15086
728,3808,345,778,15069
729,3795,349,762,15094
